Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
21-Oct-21,20:50,893.8,-0.88,-0.1,894.58,892.81,894.58,"275,011"
21-Oct-21,20:45,894.68,-0.07,-0.01,894.75,894.51,895.19,"168,452"
21-Oct-21,20:40,894.75,-0.74,-0.08,895.49,894.07,895.8,"257,515"
21-Oct-21,20:35,895.49,0.81,0.09,894.68,894.2,895.6,"345,401"
21-Oct-21,20:30,894.68,0.99,0.11,893.76,893.46,894.69,"144,046"
21-Oct-21,20:25,893.7,0.6,0.07,892.96,892.75,894.65,"207,296"
21-Oct-21,20:20,893.1,-0.09,-0.01,893.07,892.11,893.51,"135,768"
21-Oct-21,20:15,893.19,0.52,0.06,892.84,892.2,893.2,"176,566"
21-Oct-21,20:10,892.67,-1.92,-0.22,894.71,891.67,895.21,"424,496"
21-Oct-21,20:05,894.59,0.24,0.03,894.35,893.9,894.98,"156,022"
21-Oct-21,20:00,894.35,0.36,0.04,894.14,893.81,894.77,"133,503"
21-Oct-21,19:55,893.99,-0.87,-0.1,894.94,893.65,894.94,"125,258"
21-Oct-21,19:50,894.86,0.59,0.07,894.21,893.41,895,"208,531"
21-Oct-21,19:45,894.27,2.36,0.26,891.8,891.8,894.92,"303,511"
21-Oct-21,19:40,891.91,-0.41,-0.05,892.26,891.12,892.69,"90,101"
21-Oct-21,19:35,892.32,-0.67,-0.08,893,891.62,893.21,"111,690"
21-Oct-21,19:30,892.99,-0.01,0,893.04,892.18,893.6,"153,164"
21-Oct-21,19:25,893,-0.28,-0.03,893.25,892.32,893.35,"143,413"
21-Oct-21,19:20,893.28,1.63,0.18,891.59,891.51,894.04,"268,170"
21-Oct-21,19:15,891.65,1.83,0.21,889.81,889.49,891.68,"181,341"
21-Oct-21,19:10,889.82,-0.69,-0.08,890.56,889.75,891.5,"175,405"
21-Oct-21,19:05,890.51,0.64,0.07,889.89,889.76,891.14,"129,063"
21-Oct-21,19:00,889.87,0.66,0.07,889.34,889.1,890.7,"133,553"
21-Oct-21,18:55,889.21,-0.64,-0.07,889.76,889.17,890.79,"138,407"
21-Oct-21,18:50,889.86,-1.94,-0.22,891.7,889.59,891.7,"169,291"
21-Oct-21,18:45,891.8,-0.4,-0.04,892.19,891.48,892.75,"140,251"
21-Oct-21,18:40,892.19,1.2,0.13,891,890.25,892.2,"213,301"
21-Oct-21,18:35,890.99,-1.08,-0.12,892.07,890.86,892.07,"104,129"
21-Oct-21,18:30,892.07,-0.36,-0.04,892.4,891.3,892.63,"130,053"
21-Oct-21,18:25,892.43,2.19,0.25,890.13,890.13,892.75,"188,427"
21-Oct-21,18:20,890.24,-1.09,-0.12,891.47,889.18,891.59,"234,332"
21-Oct-21,18:15,891.33,-2.81,-0.31,894.16,891.1,894.16,"211,033"
21-Oct-21,18:10,894.14,0.52,0.06,893.38,893.36,894.5,"123,180"
21-Oct-21,18:05,893.63,-0.82,-0.09,894.26,892.33,894.49,"151,450"
21-Oct-21,18:00,894.45,0.09,0.01,894.34,894.11,896.06,"139,028"
21-Oct-21,17:55,894.36,-1.28,-0.14,895.77,893.5,895.77,"173,422"
21-Oct-21,17:50,895.64,0.03,0,895.76,894.8,896.25,"203,392"
21-Oct-21,17:45,895.61,1.11,0.12,894.5,894.4,896,"308,327"
21-Oct-21,17:40,894.5,0.92,0.1,893.58,893.3,894.5,"121,198"
21-Oct-21,17:35,893.58,-0.57,-0.06,894.11,893.22,894.61,"155,546"
21-Oct-21,17:30,894.15,0.48,0.05,893.74,892.99,894.55,"234,278"
21-Oct-21,17:25,893.67,0.01,0,893.58,892.53,894.71,"247,962"
21-Oct-21,17:20,893.66,1.07,0.12,892.65,891.29,894.21,"253,823"
21-Oct-21,17:15,892.59,2.39,0.27,890.37,890.29,893.22,"342,626"
21-Oct-21,17:10,890.2,0.42,0.05,889.78,888.72,890.62,"207,284"
21-Oct-21,17:05,889.78,-1.8,-0.2,891.89,889.17,891.89,"194,462"
21-Oct-21,17:00,891.58,0.32,0.04,891.33,890.18,892.07,"171,717"
21-Oct-21,16:55,891.26,-1.05,-0.12,892.38,890.65,892.59,"281,335"
21-Oct-21,16:50,892.31,0.56,0.06,891.77,890.7,892.45,"285,352"
21-Oct-21,16:45,891.75,1.22,0.14,890.39,890.1,892.09,"325,389"
21-Oct-21,16:40,890.53,1.93,0.22,888.5,888.4,891.33,"537,686"
21-Oct-21,16:35,888.6,-0.84,-0.09,889.32,888.15,891.54,"623,159"
21-Oct-21,16:30,889.45,-3.49,-0.39,892.87,889.2,893.4,"469,300"
21-Oct-21,16:25,892.94,0.65,0.07,892.29,892.01,893.64,"377,439"
21-Oct-21,16:20,892.29,-3.91,-0.44,896.19,891.66,896.3,"465,092"
21-Oct-21,16:15,896.2,-0.4,-0.04,896.66,895.56,897.78,"216,518"
21-Oct-21,16:10,896.6,-0.09,-0.01,896.7,895.74,897.23,"247,608"
21-Oct-21,16:05,896.69,-0.82,-0.09,897.64,896.07,898.77,"328,557"
21-Oct-21,16:00,897.51,-0.59,-0.07,898.11,896.34,898.5,"365,074"
21-Oct-21,15:55,898.09,-1.74,-0.19,899.88,897.77,899.89,"506,798"
21-Oct-21,15:50,899.83,1.83,0.2,898.08,897.4,900,"730,501"
21-Oct-21,15:45,898,1.01,0.11,896.99,896.17,899,"602,230"
21-Oct-21,15:40,896.99,1.05,0.12,896,895,898.5,"502,642"
21-Oct-21,15:35,895.94,0.71,0.08,895.25,893.84,896.76,"454,960"
21-Oct-21,15:30,895.23,0.84,0.09,894.42,894.2,898.29,"739,387"
21-Oct-21,15:25,894.39,-3.76,-0.42,898.12,894.39,898.28,"794,232"
21-Oct-21,15:20,898.15,6.98,0.78,891.21,891,898.5,"1,537,397"
21-Oct-21,15:15,891.17,7.61,0.86,883.61,883.45,891.85,"1,069,212"
21-Oct-21,15:10,883.56,-2.44,-0.28,886.11,882.36,887.26,"695,218"
21-Oct-21,15:05,886,4.01,0.45,881.79,881.62,886.15,"626,336"
21-Oct-21,15:00,881.99,-2.7,-0.31,884.82,880.59,885,"657,980"
21-Oct-21,14:55,884.69,-0.9,-0.1,885.51,882.33,888.5,"874,753"
21-Oct-21,14:50,885.59,1.41,0.16,884.56,883.22,888,"1,107,801"
21-Oct-21,14:45,884.18,9.92,1.13,874.48,874.34,887.39,"1,845,708"
21-Oct-21,14:40,874.26,5.06,0.58,869.1,868.5,876,"1,452,044"
21-Oct-21,14:35,869.2,3.4,0.39,856,855.5,869.2,"1,340,847"
20-Oct-21,21:05,865.8,0.01,0,865.8,865.8,865.8,"389,523"
20-Oct-21,21:00,865.79,0.19,0.02,865.6,863.93,865.81,"610,973"
20-Oct-21,20:55,865.6,0.61,0.07,865,864.75,866.09,"319,969"
20-Oct-21,20:50,864.99,1.35,0.16,863.67,863.67,865.5,"230,075"
20-Oct-21,20:45,863.64,0.67,0.08,862.96,862.96,864.04,"166,072"
20-Oct-21,20:40,862.97,-0.83,-0.1,863.88,862.97,864.08,"115,893"
20-Oct-21,20:35,863.8,0.53,0.06,863.22,863.2,864.27,"137,066"
20-Oct-21,20:30,863.27,-2.08,-0.24,865.35,862.86,865.42,"169,966"
20-Oct-21,20:25,865.35,0.6,0.07,864.7,864.53,865.35,"131,292"
20-Oct-21,20:20,864.75,-0.72,-0.08,865.5,864.4,865.7,"247,590"
20-Oct-21,20:15,865.47,-0.46,-0.05,865.87,865.02,866,"80,812"
